Feature Scenario,Testcase Title,Testcase Id,Testcase Precondition,Testcase steps,Expected Result
Open Dashboard,Dashboard_TC_001,DB_TC_001,,"1. Open the web browser.
2. Enter the URL http://<host-ip>:8088 in the address bar.
3. Press enter or click on Go.",The dashboard login page is presented with username and password fields.
User Login,Dashboard_TC_002,DB_TC_002,,"1. Got to the URL http://<host-ip>:8088
2. Enter the credentials :
username: ""admin""
password: ""opensds@123""
3. Click on the login Button.",
List All Storage Backends,Dashboard_TC_003,DB_TC_003,Dashboard_TC_001 and Dashboard_TC_002 successfully executed,"1. On the dashboard home page click on the OpenSDS logo in the center.
","A side panel  is displayed with a table that lists all storage backends added. If none are added then"" No Data"" is displayed."
List Vendor Specific Storage Backends,Dashboard_TC_004,DB_TC_004,Dashboard_TC_001 and Dashboard_TC_002 successfully executed,"1. On the dashboard home page click on the logo of the Cloud Vendor (AWS, Azure, Huawei, GCP, YIG, CEPH, IBM)","A side panel  is displayed with a table that lists all storage backends of the particular cloud vendor that were added. If none are added then"" No Data"" is displayed."
Register Storage Backend,Dashboard_TC_005,DB_TC_005,"Dashboard_TC_001 and Dashboard_TC_002 successfully executed.
Have these ready from the cloud vendor : Region, Endpoint, Bucket Name, Access Key and Secret Key","1. Click on the ""+"" symbol in the center of the screen.
2. Enter the name of Backend. (Min 1 char, Max 31 char, no special char except underscore, hyphen)
3. Select the type: AWS, Huawei OBS, Azure Blob Storage, Ceph S3, GCP Storage, FusionStorage Object, IBM COS
4. Enter the Region, Endpoint, Bucket Name, Access Key and Secret Key.
5. Press OK.
6. Repeat for all Cloud Backends.","The backend gets added and you will be redirected to the home page. The count next to the logo for AWS, Huawei, GCP, Azure and IBM is increased by 1 for these backends. For Ceph S3, FusionStorage Object, and YIG the count next to OpenSDS in the center of the page is increased by 1."
Register Storage Backend - YIG,Dashboard_TC_006,DB_TC_006,Dashboard_TC_001 and Dashboard_TC_002 successfully executed. Have these ready from the cloud vendor : Region,"1. Click on the ""+"" symbol in the center of the screen.
2. Enter the name of Backend. (Min 1 char, Max 31 char, no special char except underscore, hyphen)
3. Select the type: YIG
4. Enter the Region.
5. Press OK.
","The backend gets added and you will be redirected to the home page. For Ceph S3, FusionStorage Object, and YIG the count next to OpenSDS in the center of the page is increased by 1."
Modify Storage Backend,Dashboard_TC_007,DB_TC_007,,"1. Click on the Cloud backend logo on the home page (AWS, GCP, Huawei, Azure, IBM COS or the OpenSDS Cloud logo)
2. In the list of backends added click on the ""Modify"" link under the Operation column.
3. Modify the Access Key and Secret Key.
4. Click on OK.",The Access Key and Secret Key are updated and the list of backends is shown again.
Modify Storage Backend - YIG,Dashboard_TC_008,DB_TC_008,,"1. Click on the OpenSDS Cloud backend logo in the center of the home page.
2. In the list of backends added, the ""Modify"" button should not be shown or disabled. ",Since the YIG backend does not accept AK or SK the Modify link should not be visible.
Delete Storage backend,Dashboard_TC_009,DB_TC_009,,"1. Click on the Cloud backend logo on the home page (AWS, GCP, Huawei, Azure, IBM COS or the OpenSDS Cloud logo)
2. In the list of backends added click on the ""Delete"" link under the Operation column.
3. A confirmation box with the name of the backend you wish to delete should be presented.
4. Click on Delete.",You should see the list of  backends. The backend  is deleted and removed from the list. List is reloaded. If not backends are present then the list will say No Records found.
Profile - List all Profiles,Dashboard_TC_010,DB_TC_010,,1. Click on the Profile link in the side menu.,"The profile list page is displayed.
If no profiles are created then an empty page is displayed."
Create Profile - Block,Dashboard_TC_011,DB_TC_011,,"1. Got to the Profiles Page.
2. Click on Create Profile.
3. Enter the Name and Description.
4. Select the Storage Type as Block.
5. Leave all other fields as it is.
6. Click on OK.",The profile is created with the storage type set to block and the List profile is displayed with the newly created profile displayed as a card.
Create Profile - Block - QoS Policy Enabled,Dashboard_TC_012,DB_TC_012,,"1. Same as Dashboard_TC_011. 
2. Select the QoS Policy checkbox.
3. Leave the default values as it is.
4. Click on OK.",The profile is created and the List profile is displayed with the newly created profile displayed as a card. The QoS policy is enabled and the button is visible on the card. On hover this displays the QoS policy values.
